year,original,xgb,lgbm
2015,24,18,25
2014,13,4,14
2015,7,12,21
2011,160,212,204
2011,124,80,81
2015,22,29,35
2011,91,69,72
2016,25,37,40
2013,36,14,24
2011,13,36,36
2012,42,31,38
2012,0,2,12
2014,19,21,25
2016,2,4,12
2016,24,19,30
2012,9,18,26
2016,9,4,15
2014,8,19,27
2011,5,5,14
2016,1,5,13
2016,193,283,240
2015,19,0,12
2011,0,9,22
2012,196,237,201
2013,40,86,80
2011,38,40,43
2016,18,31,32
2014,2,1,11
2011,9,5,14
2015,435,436,361
2012,157,103,90
2012,0,4,14
2013,0,6,15
2013,106,110,94
2015,9,10,17
2016,40,22,25
2014,6,19,31
2013,8,26,22
2015,180,392,414
2015,133,66,69
2014,10,13,19
2012,2,12,19
2013,77,56,54
2014,11,14,23
2015,1,4,11
2014,18,41,46
2013,47,9,15
2011,2,10,17
2013,45,25,29
2016,3,3,13
2016,306,167,157
2016,1,3,11
2013,10,12,18
2011,40,33,40
2016,5,33,34
2011,8,37,46
2011,14,35,40
2015,34,10,18
2015,394,249,223
2014,7,7,19
2016,13,102,71
2015,19,27,26
2016,1,7,15
2013,13,47,52
2012,7,37,41
2011,33,37,36
2014,1,12,21
2015,3,4,12
2012,37,7,16
2013,3,0,11
2012,2,6,14
2013,42,34,37
2011,188,216,192
2011,120,55,68
2011,112,111,89
2013,73,91,76
2012,25,9,20
2016,57,49,43
2016,2,9,14
2012,21,27,30
2014,37,167,135
2012,11,10,16
2016,130,124,115
2016,337,249,232
2012,112,84,87
2013,4,7,16
2016,1,2,11
2014,5,8,19
2016,0,3,13
2014,3,21,33
2012,3,9,15
2016,0,11,17
2011,184,188,150
2011,38,34,35
2015,25,35,34
2014,40,11,26
2013,32,90,92
2015,3,1,11
2012,42,35,37
2016,13,7,18
2012,1,10,15
2011,9,21,26
2014,0,20,19
2015,32,79,128
2012,33,24,31
2012,49,192,198
2016,30,41,42
2011,8,12,22
2015,34,42,48
2013,32,34,44
2012,43,26,34
2014,39,44,48
2016,46,30,30
2016,50,81,78
2015,168,126,102
2012,36,46,51
2014,9,51,59
2016,5,6,15
2013,0,10,20
2013,0,2,11
2013,11,18,24
2014,3,7,15
2012,24,32,33
2012,9,5,13
2014,10,5,14
2016,25,17,22
2014,84,116,110
2012,1,10,13
2014,118,170,157
2015,9,16,26
2012,4,7,15
2011,425,569,403
2016,2,4,13
2013,59,72,66
2013,47,4,14
2012,204,187,171
2013,45,8,16
2012,19,15,20
2016,16,5,16
2015,8,7,14
2011,0,1,11
2014,529,646,677
2016,37,38,39
2014,2,2,11
2012,20,36,41
2016,9,6,14
2013,13,8,17
2012,0,1,11
2016,61,37,45
2014,1,23,24
2016,92,127,134
2012,0,0,12
2014,173,162,139
2015,246,141,138
2011,285,128,126
2014,7,14,20
2013,30,21,27
2011,33,22,23
2012,58,76,82
2016,15,10,20
2015,11,25,25
2015,12,25,29
2014,33,65,60
2012,49,32,38
2016,5,4,13
2014,11,13,21
2016,254,213,169
2016,49,21,28
2015,0,109,71
2013,42,73,85
2013,71,39,45
2016,32,12,23
2014,84,83,86
2011,17,22,31
2014,17,29,30
2013,4,6,16
2013,8,34,33
2011,47,23,29
2013,13,40,39
2011,4,4,13
2013,60,5,16
2016,1,1,11
2012,57,42,49
2012,7,3,11
2016,15,12,22
2015,53,67,48
2012,35,46,48
2013,7,9,18
2015,3,4,12
2015,1,5,14
2011,11,8,17
2016,26,44,53
2011,1,2,15
2013,41,67,63
2015,74,73,70
2012,0,3,13
2013,18,27,35
2011,11,29,35
2011,28,37,45
2014,14,186,213
2011,27,44,45
2016,8,7,16
2013,9,28,33
2016,1570,675,689
2011,7,15,19
2016,30,48,52
2015,41,21,31
2012,94,110,111
2012,0,3,15
2013,11,24,30
2013,0,6,13
2014,45,86,71
2012,9,5,14
2012,108,37,48
2016,61,32,35
2011,116,118,116
2015,25,49,56
2012,94,78,82
2015,26,37,40
2011,13,19,28
2013,36,35,41
2016,121,100,97
2014,25,53,56
2016,56,19,26
2011,2,16,21
2016,6,4,14
2016,16,19,23
2016,146,88,78
2011,0,11,13
2013,122,124,124
2016,2,6,14
2012,0,3,12
2011,30,38,42
2015,145,208,183
2012,80,109,112
2015,41,26,28
2014,276,311,287
2016,3,13,22
2013,26,31,40
2011,3,6,14
2015,78,100,96
2011,36,21,26
2012,56,41,48
2016,10,6,15
2011,20,28,32
2012,69,89,78
2012,333,469,400
2011,10,31,37
2016,136,99,113
2015,100,171,147
2012,0,3,11
2012,15,44,47
2011,50,25,30
2012,10,37,35
2014,773,1186,1081
2012,32,22,30
2011,71,35,43
2014,21,18,22
2013,106,113,103
2013,28,19,22
2016,70,42,48
2014,0,18,12
2015,199,181,158
2012,29,36,43
2014,0,4,15
2015,12,7,15
2011,11,13,21
2013,8,1,12
2016,168,119,110
2014,6,6,13
2016,126,179,164
2012,24,43,48
2012,163,106,98
2013,27,31,39
2015,4,9,16
2012,52,118,117
2015,14,34,31
2013,27,24,26
2015,3,12,24
